n_words,n_frozen_layers,accuracy,epoch
20,11.0,0.9549595141700404,4
20,11.0,0.9544534412955465,7
20,11.0,0.9519230769230769,6
20,11.0,0.951417004048583,2
20,11.0,0.9519230769230769,8
20,11.0,0.9569838056680162,13
20,11.0,0.951417004048583,3
20,11.0,0.9544534412955465,7
20,11.0,0.9504048582995951,7
20,11.0,0.9539473684210527,6
20,11.0,0.9539473684210527,9
20,11.0,0.9529352226720648,3
20,11.0,0.9529352226720648,8
20,10.0,0.9549595141700404,10
20,10.0,0.9554655870445344,6
20,10.0,0.957995951417004,4
20,10.0,0.9544534412955465,3
20,10.0,0.9544534412955465,3
20,10.0,0.9559716599190283,8
20,10.0,0.9554655870445344,10
20,10.0,0.9544534412955465,3
20,10.0,0.9564777327935222,2
20,10.0,0.9539473684210527,12
20,10.0,0.9554655870445344,6
20,10.0,0.9574898785425101,6
20,10.0,0.9544534412955465,10
20,10.0,0.9569838056680162,4
20,10.0,0.9539473684210527,3
20,10.0,0.9524291497975709,2
20,10.0,0.9544534412955465,4
20,10.0,0.9544534412955465,7
20,10.0,0.9539473684210527,3
20,10.0,0.9559716599190283,3
20,10.0,0.9564777327935222,4
20,10.0,0.9554655870445344,7
20,10.0,0.9564777327935222,5
20,10.0,0.9549595141700404,4
20,10.0,0.9529352226720648,2
20,10.0,0.9544534412955465,6
20,10.0,0.9559716599190283,2
20,10.0,0.9549595141700404,6
20,10.0,0.9544534412955465,5
20,10.0,0.9564777327935222,4
20,10.0,0.958502024291498,4
20,10.0,0.9554655870445344,2
20,10.0,0.9544534412955465,5
20,10.0,0.9534412955465587,2
20,10.0,0.9554655870445344,6
20,10.0,0.9559716599190283,2
20,10.0,0.9574898785425101,4
20,10.0,0.9559716599190283,4
20,10.0,0.9590080971659919,4
20,10.0,0.9574898785425101,5
20,10.0,0.9559716599190283,4
20,10.0,0.9534412955465587,2
20,10.0,0.9569838056680162,4
20,10.0,0.9554655870445344,4
20,10.0,0.9559716599190283,3
20,10.0,0.9569838056680162,4
20,10.0,0.9539473684210527,6
20,10.0,0.957995951417004,6
20,10.0,0.9564777327935222,6
20,10.0,0.9549595141700404,4
20,9.0,0.9569838056680162,3
20,9.0,0.9554655870445344,2
20,9.0,0.9539473684210527,2
